id	doi	title	author	journaltitle	volume	issue	pubdate	pagerange	publisher	type	reviewed-work	abstract
10.2307/40631753	10.2307/40631753	The love of a good woman	Sally Herrin	Prairie Schooner	60	2	1986-07-01T00:00:00Z	p. 106	University of Nebraska Press	fla			
10.2307/822352	10.2307/822352	Lighting the Flame: Teaching High School Students to Love, Not Loathe, Literature	Michael Milburn	The English Journal	91	2	2001-11-01T00:00:00Z	pp. 90-95	National Council of Teachers of English	fla			
10.2307/20464318	10.2307/20464318	"We Know What We Know": Reckoning in "Love's Labor's Lost"	Cynthia Lewis	Studies in Philology	105	2	2008-04-01T00:00:00Z	pp. 245-264	University of North Carolina Press	fla			
10.1086/421798	10.1086/421798	Courtney Bender, <i>Heaven’s Kitchen: Living Religion at God’s Love We Deliver</i>	Fred Kniss	The Journal of Religion	84	2	2004-04-01T00:00:00Z	pp. 282-284	The University of Chicago Press	brv	Heaven’s Kitchen: Living Religion at God’s Love We Deliver|Courtney Bender,		
10.2307/25476115	10.2307/25476115	Joyce's "Exiles": The Problem of Love	Theo Q. Dombrowski	James Joyce Quarterly	15	2	1978-01-01T00:00:00Z	pp. 118-127	University of Tulsa	fla			
10.2307/41244972	10.2307/41244972	SOME NEGLECTED ASPECTS OF LOVE IN SAPPHO'S FR. 31 LP.	Odysseus Tsagarakis	Rheinisches Museum für Philologie	122	2	1979-01-01T00:00:00Z	pp. 97-118	J.D. Sauerländers Verlag	fla			
10.2307/3178583	10.2307/3178583	Violent Love: Hunting, Heterosexuality, and the Erotics of Men's Predation	Brian Luke	Feminist Studies	24	3	1998-10-01T00:00:00Z	pp. 627-655	Feminist Studies, Inc.	fla			
10.2307/3563461	10.2307/3563461	Docs on the Box or, How We Learned to Stop Worrying and Love the Tube	Carl Elliott, Jeffrey Kahn	The Hastings Center Report	24	6	1994-11-01T00:00:00Z	pp. 22-23	The Hastings Center	fla			
10.2307/3775403	10.2307/3775403	Talking about Love and Sex in Adolescent Health Fairs in India	Indu Capoor, Sonal Mehta	Reproductive Health Matters	3	5	1995-05-01T00:00:00Z	pp. 22-27	Reproductive Health Matters (RHM)	fla		Sex education for adolescents is practically unavailable from any source in India, be it home, family members or school. Yet a majority of girls marry by the time they are 16 and boys by 18, and with marriage they become sexually active. CHETNA, an NGO in Ahmedabad, Gujarat, started to run sex education workshops in 1990 as a part of residential health camps for adolescents. In an interactive manner using role plays, games, reading materials and small group discussions, we talk about physical as well as emotional changes in adolescence, love, sex and sexuality, and gender issues. We have seen positive changes in many young people but also found that parental involvement is essential to sustain the gains made and to provide support. /// En Inde, les adolescents n'ont pratiquement aucune source d'éducation sexuelle, que ce soit chez eux, auprès de membres de leur famille ou à l'école. Pourtant, beaucoup de filles sont mariées avant 16 ans, beaucoup de garçons avant 18 ans, et leur activité sexuelle commence avec le mariage. CHETNA, une ONG d'Ahmedabad (Gujarat) a entrepris en 1990 des ateliers d'éducation sexuelle dans le cadre de camps pour adolescents. De manière interactive, en nous servant de jeux, de jeux de rôle, de lectures, de discussions en petits groupes, nous y évoquons les transformations physiques et émotionnelles de l'adolescence, l'amour, la sexualité et les relations sexuelles, et les problêmes en matière de genre. Nous avons enregistré chez nombre de jeunes une évolution positive, mais nous avons aussi constaté que la participation des parents est indispensable pour maintenir les acquis et apporter un soutien. /// En la India, los adolescentes prácticamente no reciben educación sexual alguna de parte de fuentes tradicionales como el hogar, la familia, o la escuela. Sin embargo, la mayoría de las jóvenes se casan a los 16 años y los jóvenes a los 18; sólo entonces, tras el matrimonio, se vuelven sexualmente activos. CHETNA, una ONG en Ahmedabad, Gujarat, comenzó a ofrecer seminarios sobre educación sexual en 1990, como parte del programa de sus campamentos de salud para adolescentes. De forma interactiva, haciendo uso de representaciones, juegos, materiales de lectura y pequeños grupos de discusión, podemos hablar sobre los cambios físicos y emocionales en la adolescencia, el amor, el sexo y la sexualidad, y temas relacionados con el género. Hemos observado cambios positivos en muchos jóvenes, pero también hemos advertido que la participación de los padres es esencial para mantener los logros alcanzados y dar el apoyo necesario.	
10.2307/20572311	10.2307/20572311	Words about Love	Mark Turbyfill	Poetry	15	1	1919-10-01T00:00:00Z	p. 16	Poetry Foundation	fla			
10.2307/371641	10.2307/371641	Possessed by Love, Death, and Taxes	A. M. Tibbetts	College English	19	7	1958-04-01T00:00:00Z	pp. 318-320	National Council of Teachers of English	fla			
10.1353/ren.0.0292	10.1353/ren.0.0292	David Schalkwyk. <i>Shakespeare, Love and Service</i>	Laurie Ellinghausen	Renaissance Quarterly	61	4	2008-12-01T00:00:00Z	pp. 1418-1420	Renaissance Society of America, The University of Chicago Press	brv	Shakespeare, Love and Service|David Schalkwyk		
10.2307/40636856	10.2307/40636856	Love Talk	Michael J. Bugeja	Prairie Schooner	69	1	1995-04-01T00:00:00Z	p. 159	University of Nebraska Press	fla			
10.1353/ren.2008.0835	10.1353/ren.2008.0835	Thomas V. Cohen. <i>Love and Death in Renaissance Italy</i>	Mary S. K. Hewlett	Renaissance Quarterly	58	3	2005-09-01T00:00:00Z	pp. 912-913	Renaissance Society of America, The University of Chicago Press	brv	Love and Death in Renaissance Italy|Thomas V Cohen		
10.2307/1908225	10.2307/1908225	Mother Love and Infant Death, 1750-1920	Nancy Schrom Dye, Daniel Blake Smith	The Journal of American History	73	2	1986-09-01T00:00:00Z	pp. 329-353	Organization of American Historians	fla			
10.2307/27659674	10.2307/27659674	Love before Marriage	Donal Linehan	The Furrow	19	5	1968-05-01T00:00:00Z	pp. 291-293	The Furrow	fla			
10.2307/40457883	10.2307/40457883	A Modern Welsh Anti-Love Charm with Ancient Antecedents	J. Gwyn Griffiths	Anthropos	60	1/6	1965-01-01T00:00:00Z	pp. 108-112	Anthropos Institute	fla			
10.2307/29790807	10.2307/29790807	My love is never blind: Riverside, southern California	Christine Ward Gailey	Dialectical Anthropology	32	1/2	2008-03-01T00:00:00Z	pp. 51-52	Springer	fla			
10.2307/23263207	10.2307/23263207	RELIGIOSITY, BENEVOLENT LOVE, AND LONG-LASTING MARRIAGES	Vincent Jeffries	Humboldt Journal of Social Relations	30	1	2006-01-01T00:00:00Z	pp. 77-106	Department of Sociology, Humboldt State University	fla		The relationship between religiosity, love, and marriage is examined. Both questionnaire and intensive interview data were collected from a sample of individuals with long-term marriages. Symbolic interactionist theory and frame analysis are used to describe the nature and processes of marriage and to order and interpret the data. Findings indicate that religious ideas influence the occurrence of interaction patterns that manifest benevolent love. Marital quality is associated with this interaction.	
10.2307/379296	10.2307/379296	The Love Theme in French Drama	Albert Mann	The French Review	9	2	1935-12-01T00:00:00Z	pp. 111-126	American Association of Teachers of French	fla			
10.2307/20580892	10.2307/20580892	Love's Fear	Philip Parker	Poetry	50	3	1937-06-01T00:00:00Z	p. 128	Poetry Foundation	fla			
10.2307/25771156	10.2307/25771156	the story of a love affair	Michele Clark	Off Our Backs	1	14	1970-12-14T00:00:00Z	p. 7	off our backs, inc.	fla			
10.2307/23130868	10.2307/23130868	I FEEL LOVE: DISCO AND ITS DISCONTENTS	Tavia Nyong'o	Criticism	50	1	2008-01-01T00:00:00Z	pp. 101-112	Wayne State University Press	fla			
10.2307/40018105	10.2307/40018105	Reflections on Faith, Hope and Love	H. Richard Niebuhr	The Journal of Religious Ethics	2	1	1974-04-01T00:00:00Z	pp. 151-156	Wiley	fla		The author distinguishes a relational interpretation of faith, hope and love (and other gifts of God) from a theory of virtue insofar as virtue means good conduct in the power of the agent and insofar as it means habit. Denying that any gift of God is the key to or the foundation of other gifts or is capable of being understood appropriately in isolation, the author proceeds to analyze faith, hope and love and to discuss their relations one to another.	
10.2307/25294201	10.2307/25294201	Love Poem to You	Bill Knott	Chicago Review	20	2	1968-06-01T00:00:00Z	p. 79	Chicago Review	fla			
10.2307/41938473	10.2307/41938473	Love Child	Sue Allison	Fourth Genre: Explorations in Nonfiction	1	2	1999-10-01T00:00:00Z	pp. 14-19		fla			
10.2307/20514753	10.2307/20514753	Love, the Philosophy of Life. V: The Founder of Christianity	H. V. Gill	The Irish Monthly	68	806	1940-08-01T00:00:00Z	pp. 428-433	Irish Jesuit Province	fla			
10.2307/41604454	10.2307/41604454	Love and Life in Southwestern Japan: The Story of a One-hundred-Year-old Lady	Emiko Ochiai	Journal of Comparative Family Studies	42	3	2011-05-01T00:00:00Z	pp. 399-409	Dr. George Kurian	fla		The coastal villages in southwestern Japan are known for its peculiar historical demographic features involving frequent pre-marital births and births without parents being married and frequent movement of children between households. This article explores habits regarding sex, marriage, and births behind these demographic features. It draws on an interview with an elderly woman who tells her own experiences and what she observed during most of her life time. The focus is on the woman's subjectivity and how she interprets the relative sexual freedom that women in this area seem to have been granted. Her testimony often differs from interpretations offered in ethnographic research. Both the optimistic view praising sexual freedom as well as the contrasting view that deplores women's victimization seem inadequate to grasp the woman's testimony. According to her recollections intrusion into a married relationship often occurred, the father of children of pre-marital births was not necessarily the man who later became the husband of the mother, and child abuse by the mother's new husband sometimes occurred. It also occurred that a woman abandoned her previous man to go with a new man. Love seems to have been a matter of great concern to both men and women in this region. The cost of sexual behaviours existed but it was not very high, partially because of economic independence of women, partially because of social support networks for taking care of the children born. Les villages de la côte sud-ouest du Japon sont historiquement connus pour leurs traits démographiques particuliers. Ces traits comprennent de fréquentes naissances prémaritales et hors mariages ainsi que de fréquents déplacements d'enfants entre les familles. Cet article examine les habitudes sexuelles, maritales et natales qui se cachent derrière ces données démographiques. L'article est basé sur l'interview d'une femme centenaire qui raconte ses propres expériences et observations. L'accent est mis sur la subjectivité de la femme et sur sa façon d'interpréter la relative liberté sexuelle accordée aux femmes de cette région. Son témoignage diffère souvent des interprétations ethnographiques. Aussi bien les regards optimistes louant la liberté sexuelle que les regards déplorant la victimisation des femmes sont inadéquats pour saisir le témoignage de la femme. Selon ses souvenirs, les relations maritales furent souvent sujettes à intrusion, le père des enfants nés avant mariage ne fut pas nécessairement l'homme qui devint le mari de la mère, et il arrivait que les enfants fussent maltraités par le nouveau mari de la mère. Il arrivait aussi qu'une femme quittait son mari pour aller vivre avec un autre homme. L'amour semble avoir été un sujet de grande préoccupation aussi bien pour les femmes que pour les hommes dans cette région. Le prix des comportements sexuels n'était pas très élevé, en particulier à cause de l'indépendance économique des femmes et à cause de supports sociaux qui prenaient soin des enfants nés hors mariage. Las ciudades costeras del sudoeste de Japón se caracterizan por unos comportamientos demográficos peculiares que incluyen nacimientos pre-matrimoniales y fuera del matrimonio así como frecuentes movimientos residenciales de los hijos entre los diferentes hogares. Este artículo examina las costumbres sexuales, matrimoniales y reproductivas que se esconden detrás de estas características. El análisis se concentra en la entrevista con una mujer anciana que relata las experiencias y apreciaciones desarrolladas a lo largo de su vida, siendo su subjetividad e interpretaciones respecto a la libertad sexual que las mujeres de esta zona parecen haber gozado el centro del análisis. Su testimonio difiere, en muchas ocasiones, de la perspectiva ofrecida por la investigación etnográfica. Tanto la visión optimista que ensalza la primacía de la libertad sexual así como la perspectiva contraria que rechaza la existencia de discriminación contra la mujer parecen inadecuadas para contener la totalidad del discurso de esta mujer. Sus recuerdos dan cuenta de intrusiones en las relaciones matrimoniales así como de casos de maltrato de niños por parte de los nuevos esposos de las mujeres, en función de que el padre prematrimonial de los menores no siempre acababa convirtiéndose en marido de la madre. Su discurso también señala situaciones en que las mujeres abandonaban a sus parejas para formar nuevas relaciones sentimentales. El amor, por tanto, parece haberse constituido en una cuestión de gran importancia para los hombres y mujeres de esta región. Los costes sociales de los diferentes comportamientos sexuales no eran excesivamente gravosos para las mujeres debido a su independencia económica y a la existencia de redes sociales de apoyo para el cuidado de los niños nacidos fuera del matrimonio.	
10.2307/41384406	10.2307/41384406	"I Love Jimmy"	Walter B. Barbe	Elementary English	32	8	1955-12-01T00:00:00Z	pp. 532-534	National Council of Teachers of English	fla			
10.2307/40633047	10.2307/40633047	Love Soup	Karen Alkalay-Gut	Prairie Schooner	66	2	1992-07-01T00:00:00Z	pp. 66-71	University of Nebraska Press	fla			
10.2307/4249565	10.2307/4249565	"No Fetters but Such as Love Shall Forge": Elizabeth and William Wirt and Marriage in the Early Republic	Anya Jabour	The Virginia Magazine of History and Biography	104	2	1996-04-01T00:00:00Z	pp. 211-250	Virginia Historical Society	fla			
10.2307/23560624	10.2307/23560624	Children's & Community Youth Choirs: The Love of Song: Reflections on the Choral Contributions of Mary Goetze	Robyn Lana, Angela Broeker	The Choral Journal	52	5	2011-12-01T00:00:00Z	pp. 55-57		fla			
10.2307/40795097	10.2307/40795097	Theory building on the high seas of population health: Love Boat, Mutiny on the Bounty, or Poseidon Adventure?	Richard M Carpiano, Dorothy M Daley	Journal of Epidemiology and Community Health (1979-)	60	7	2006-07-01T00:00:00Z	pp. 574-577	BMJ Publishing Group	fla			
10.2307/23524699	10.2307/23524699	'Where sex ends and emotions begin': love and HIV risk among female sex workers and their intimate, non-commercial partners along the Mexico-US border	Jennifer L. Syvertsen, Angela M. Robertson, Lawrence A. Palinkas, M. Gudelia Rangel, Gustavo Martinez, Steffanie A. Strathdee	Culture, Health & Sexuality	15	5/6	2013-05-01T00:00:00Z	pp. 540-554	Taylor & Francis, Ltd.	fla		This study explores the affective dimensions of female sex workers' relationships with their intimate, non-commercial partners and assesses how emotions shape each partner's sexual and drug-related risk within their relationship. We draw on qualitative data from a study of HIV, sexually transmitted infections and high-risk behaviours among female sex workers and their non-commercial partners in Tijuana and Ciudad Juárez, Mexico, to illustrate that these couples share relationships based on love, trust, respect and emotional and material support. These relationships range in emotional intensity, which shapes partners' decisions not to use condoms with each other. Drugs were important in most couples' relationships. Among injectors, syringe sharing was common and represented both a sign of care and a pragmatic reaction to conditions of material scarcity. Our findings suggest that couple-based HIV interventions to address dual sexual and drug-related risks should be tailored to the emotional dynamics of sex workers' intimate relationships. Cette étude explore les dimensions affectives des relations entre les travailleuses du sexe et leurs partenaires intimes (en dehors de leur clientèle) et évalue comment les sentiments déterminent les risques sexuels et liés à l'usage de drogues dans le cadre de ces relations. Nous exploitons les données qualitatives d'une étude sur le VIH, les maladies sexuellement transmissibles et les comportements à risque de niveau élevé parmi les travailleuses du sexe et leurs partenaires intimes à Tijuana et à Ciudad Juárez (Mexique) pour montrer que ces couples sont fondés sur l'amour, la confiance, le respect et le soutien émotionnel et matériel. Selon les données, la décision des partenaires de ne pas utiliser de préservatifs était déterminée par le degré d'intensité émotionnelle qui existait entre eux. La consommation de drogues avait une place importante dans la vie de la plupart des couples. Chez les injecteurs, le partage de seringues était fréquent et représentait à la fois un signe d'affection et une réaction pragmatique à la précarité matérielle. Nos résultats suggèrent que les interventions sur le VIH ciblant les couples et visant à traiter des risques à la fois sexuels et liés à l'usage de drogues doivent prendre en compte la dynamique émotionnelle des relations intimes chez les travailleuses du sexe. El presente estudio analiza las dimensiones afectivas de las relaciones entre las sexoservidoras y sus parejas íntimas no comerciales, evaluando cómo las emociones determinan tanto el riesgo sexual como el riesgo vinculado al uso de drogas por parte de las dos personas en la relación. Los autores se apoyan en la información cualitativa arrojada por un estudio sobre el VIH, las infecciones transmitidas sexualmente y los comportamientos de alto riesgo que se establecen entre sexoservidoras y sus parejas no comerciales en Tijuana y en Ciudad Juárez, México, con el fin de demostrar que estas parejas mantienen relaciones basadas en el amor, la confianza, el respeto, el apoyo emocional y material. Dichas relaciones varían en cuanto a su intensidad emocional, lo cual influye en la decisión de no usar condones durante sus relaciones íntimas. Asimismo, las drogas representan un aspecto importante en las relaciones de la mayoría de estas parejas. Entre las personas que se inyectan, se constató que es común compartir jeringas, lo cual se vivencia como una señal de afecto y como una respuesta pragmática ante las condiciones de escasez material. Las conclusiones señalan que las intervenciones que pretendan enfrentar tanto los riesgos de sexo dual como aquellos vinculados al uso de drogas por parejas con VIH, deberán tomar en cuenta las dinámicas emocionales que forman parte de las relaciones íntimas de las sexoservidoras.	
10.2307/41310550	10.2307/41310550	The End of a Love Affair (Mina Agossi)	Ngwatilo Mawiyoo	World Literature Today	85	5	2011-09-01T00:00:00Z	p. 53	University of Oklahoma	fla			
10.1086/511730	10.1086/511730	Book Reviews: <i>Méira Cook</i>, Writing Lovers: Reading Canadian Love Poetry by Women	Douglas Barbour	Modern Philology	104	2	2006-11-01T00:00:00Z	pp. 290-294	The University of Chicago Press	brv	Writing Lovers: Reading Canadian Love Poetry by Women|Méira  Cook		
10.2307/20570216	10.2307/20570216	Love Me at Last	Alice Corbin	Poetry	5	3	1914-12-01T00:00:00Z	p. 101	Poetry Foundation	fla			
10.2307/1684221	10.2307/1684221	Continuing Confusion over Love Canal	Barbara J. Culliton	Science	209	4460	1980-08-29T00:00:00Z	pp. 1002-1003	American Association for the Advancement of Science	nws			
10.2307/23341924	10.2307/23341924	Shiv K. Kumar's Translation of the Love Lyrics of Faiz Ahmed Faiz	Prabhat K. Singh	Indian Literature	42	4 (186)	1998-07-01T00:00:00Z	pp. 177-185	Sahitya Akademi	fla			
10.2307/27777711	10.2307/27777711	A Former Love, A Lover Of Form	CAROL MUSKE	The American Poetry Review	14	4	1985-07-01T00:00:00Z	p. 10	American Poetry Review	fla			
10.2307/40622775	10.2307/40622775	WHY TALK OF LOVE?	WILLIAM DE LISLE	Prairie Schooner	11	3	1937-10-01T00:00:00Z	p. 238	University of Nebraska Press	fla			
10.2307/25294377	10.2307/25294377	Love Poem: Puma	Irene Schram	Chicago Review	21	3	1969-12-01T00:00:00Z	p. 94	Chicago Review	fla			
10.2307/20443182	10.2307/20443182	Love and Friendship		Bradley, His Book	1	4	1896-08-01T00:00:00Z			fla			
10.2307/25743798	10.2307/25743798	ON LOVE: AFTER ORTEGA Y GASSET	Mark R. Axelrod	Bilingual Review / La Revista Bilingüe	6	1	1979-01-01T00:00:00Z	p. 81	Bilingual Press / Editorial Bilingüe	fla			
10.2307/4133390	10.2307/4133390	Zines and Zones of Desire: Mass-Mediated Love, National Romance, and Sexual Citizenship in Gay Indonesia	Tom Boellstorff	The Journal of Asian Studies	63	2	2004-05-01T00:00:00Z	pp. 367-402	Association for Asian Studies	fla			
10.2307/40605330	10.2307/40605330	Love, Forgiveness, and Trust: Critical Values of the Modern Leader	Cam Caldwell, Rolf D. Dixon	Journal of Business Ethics	93	1	2010-04-01T00:00:00Z	pp. 91-101	Springer	fla		In a world that has become increasingly dependent upon employee ownership, commitment, and initiative, organizations need leaders who can inspire their employees and motivate them individually. Love, forgiveness, and trust are critical values of today's organization leaders who are committed to maximizing value for organizations while helping organization members to become their best. We explain the importance of love, forgiveness, and trust in the modern organization and identify 10 commonalities of these virtues.	
10.2307/25646302	10.2307/25646302	On My Mind: The Jigsaw Puzzle, or Why I Love My Job	Meg Norton	American Libraries	33	4	2002-04-01T00:00:00Z	p. 42	American Library Association	fla			
10.2307/2541385	10.2307/2541385	The Impact of Folk Song on Sacred and Profane Love Poetry in Post- Tridentine Spain	Bruce W. Wardropper	The Sixteenth Century Journal	17	4	1986-12-01T00:00:00Z	pp. 483-498	The Sixteenth Century Journal	fla		In the fifteenth and sixteenth centuries Spanish court and city poets not only recorded earlier folk songs and poetry but also often "divinized" them, using them as the basis for sacred songs. In turn, the religious poetry of the period contributed to the development of secular poetry with its original imagery, specificity, and diversity of portrayals of love.	
10.2307/4352311	10.2307/4352311	Travesties of Love: Violence and Voyeurism in Ovid "Amores" 1.7	Ellen Greene	The Classical World	92	5	1999-05-01T00:00:00Z	pp. 409-418	Classical Association of the Atlantic States, The Johns Hopkins University Press	fla			
10.2307/25008467	10.2307/25008467	Bewilderment Is Love	Lesley Dauer	Grand Street		68	1999-04-01T00:00:00Z	p. 36	Ben Sonnenberg, Jean Stein	fla			
10.2307/20837391	10.2307/20837391	Back to School; Back to Cool: How the things we do for love keep us apart	anitra jones	Off Our Backs	31	8	2001-08-01T00:00:00Z	pp. 14-17	off our backs, inc.	fla			
10.2307/20180974	10.2307/20180974	Two Love-Charms	Robert Daniel	Zeitschrift für Papyrologie und Epigraphik	19		1975-01-01T00:00:00Z	pp. 249-264	Dr. Rudolf Habelt GmbH, Bonn (Germany)	fla			
10.2307/27568000	10.2307/27568000	The Hanging of Matthew Love	Michael E. Stevens	The South Carolina Historical Magazine	88	1	1987-01-01T00:00:00Z	pp. 55-58	South Carolina Historical Society	fla			
10.2307/30044700	10.2307/30044700	Love in the Ancien Régime	Terri Witek	The Hudson Review	57	4	2005-12-01T00:00:00Z	p. 612	The Hudson Review, Inc	fla			
10.2307/20759053	10.2307/20759053	LEGAL LABOR OF LOVE: 'Dead' mom gives birth	Debra Cassens Moss	ABA Journal	72	12	1986-12-01T00:00:00Z	p. 32	American Bar Association	fla			
10.2307/1496518	10.2307/1496518	Witchcraft in Love Theft		Western Folklore	20	1	1961-01-01T00:00:00Z	pp. 43-44	Western States Folklore Society	fla			
10.2307/820119	10.2307/820119	The Places We Live and Love	Crag Hill	The English Journal	85	3	1996-03-01T00:00:00Z	pp. 103-104	National Council of Teachers of English	brv	Having Everything Right: Essays of Place|Kim Stafford		
10.2307/27714448	10.2307/27714448	The Banquet of Love in English Drama (1595-1642)	Donald K. Anderson, Jr.	The Journal of English and Germanic Philology	63	3	1964-07-01T00:00:00Z	pp. 422-432	University of Illinois Press	fla			
10.2307/1207765	10.2307/1207765	"Heart Mysteries": The Later Love Lyrics of W. B. Yeats	Marjorie G. Perloff	Contemporary Literature	10	2	1969-04-01T00:00:00Z	pp. 266-283	University of Wisconsin Press	fla			
10.2307/20569979	10.2307/20569979	Love Songs	Harriet Monroe	Poetry	3	5	1914-02-01T00:00:00Z	pp. 159-160	Poetry Foundation	fla			
10.2307/20586714	10.2307/20586714	Preparing for a Love Nest on the Plains	David Cornel de Jong	Poetry	91	1	1957-10-01T00:00:00Z	p. 14	Poetry Foundation	fla			
10.2979/reseafrilite.43.1.136	10.2979/reseafrilite.43.1.136	“The only truth I know is what I felt with my entire body”: Traumatic Memory in <i>Zulu Love Letter</i>	Marie Kruger	Research in African Literatures	43	1	2012-03-01T00:00:00Z	pp. 136-150	Indiana University Press	fla		ABSTRACT  Zulu Love Letter expands the repertoire of films often labeled “Truth and Reconciliation films” in its portrayal of Thandeka Khumalo, a political activist, journalist, and mother. Her painful journey recognizes the moral ambivalence of a victim who has to learn to forgive herself for a past for which she holds herself responsible. With its frequent temporal shifts, highly subjective point of view, and self-conscious narration, the film employs a “modernist” representational style that intends to represent the trauma of the past and its post-traumatic resonance in the present. Such a visual landscape, however, also challenges the audience's ability (and willingness) to engage with a character whose testimony already threatens their sense of moral order and human compassion. In this article, I examine the aesthetic and ethical challenges of rendering personal pain accessible to an audience often far removed from the experience of the victim.	
10.2307/20112389	10.2307/20112389	The Trans-Tasman Boomerang: The Dialectic of Convention and Individuality in "A Pagan's Love" (1905)	Daphne Lawless	Journal of New Zealand Literature: JNZL		23	2005-01-01T00:00:00Z	pp. 124-138	Journal of New Zealand Literature, University of Waikato	fla			
10.2307/25656026	10.2307/25656026	"The onely way to be mad, is to bee constant": Defending Heterosexual Nonmonogamy in John Lyly's Love's Metamorphosis	James M. Bromley	Studies in Philology	106	4	2009-10-01T00:00:00Z	pp. 420-440	University of North Carolina Press	fla			
10.2307/441250	10.2307/441250	The Hidden Love Triangle in Mansfield's "Bliss"	Walter E. Anderson	Twentieth Century Literature	28	4	1982-12-01T00:00:00Z	pp. 397-404	Hofstra University	fla			
10.1086/655422	10.1086/655422	<i>Lynette R. Muir</i>, Love and Conflict in Medieval Drama: The Plays and Their Legacy	Emma Lipton	Modern Philology	108	2	2010-11-01T00:00:00Z	pp. E76-E78	The University of Chicago Press	brv	Love and Conflict in Medieval Drama: The Plays and Their Legacy|Lynette R. Muir		
10.2307/27560713	10.2307/27560713	Love in the Woods	Grace Dane Mazur	Harvard Review		11	1996-10-01T00:00:00Z	pp. 49-57	Houghton Library of the Harvard College Library	fla			
10.2307/20600095	10.2307/20600095	The Court of Love: Special Sessions	John Hollander	Poetry	145	2	1984-11-01T00:00:00Z	p. 97	Poetry Foundation	fla			
10.2307/2930685	10.2307/2930685	Just Don't Never Give up on Love	Sonia Sanchez	Callaloo		20	1984-01-01T00:00:00Z	pp. 83-85	The Johns Hopkins University Press	fla			
10.2307/23341605	10.2307/23341605	Feeling of Love	Aparna Mohanty	Indian Literature	47	3 (215)	2003-05-01T00:00:00Z	pp. 23-25	Sahitya Akademi	fla			
10.2307/40639637	10.2307/40639637	Skinless Love	Hadara Bar-Nadav	Prairie Schooner	82	2	2008-07-01T00:00:00Z	p. 135	University of Nebraska Press	fla			
10.2307/1182544	10.2307/1182544	Risk Love	Peter Asch, Richard E. Quandt	The Journal of Economic Education	21	4	1990-10-01T00:00:00Z	pp. 422-426	Taylor & Francis, Ltd.	fla		The love of risk receives little attention in textbooks and classroom discussions because clear and intuitively appealing examples are difficult to find. Examples of risk love are presented from empirical studies of racetrack betting; betting patterns are plausibly interpreted as the observable outcome of risk-loving behavior.	
10.2307/472671	10.2307/472671	Between Macías and Don Juan: Spanish Romantic Drama and the Mythology of Love	Roberto G. Sánchez	Hispanic Review	44	1	1976-01-01T00:00:00Z	pp. 27-44	University of Pennsylvania Press	fla			
10.2307/1265334	10.2307/1265334	A Wintu Etymology: 'Love'	Harvey Pitkin	International Journal of American Linguistics	51	4	1985-10-01T00:00:00Z	pp. 536-538	The University of Chicago Press	fla			
10.2307/40541533	10.2307/40541533	Erratum: Celluloid Love Songs: Musical Modus Operandi and the Dramatic Aesthetics of Romantic Hindi Film		Popular Music	28	3	2009-10-01T00:00:00Z	p. 461	Cambridge University Press	fla			
10.2307/20593737	10.2307/20593737	Love in Brooklyn	John Wakeman	Poetry	135	5	1980-02-01T00:00:00Z	p. 266	Poetry Foundation	fla			
10.2307/40754461	10.2307/40754461	"Sport by sport o'erthrown": <i>Love's Labour's Lost</i> and the Politics of Play	Louis A. Montrose	Texas Studies in Literature and Language	18	4	1977-01-01T00:00:00Z	pp. 528-552	University of Texas Press	fla			
10.2307/41604059	10.2307/41604059	Two-Lives, One Partner: Indo-Canadian Youth between Love and Arranged Marriages	Nancy S. Netting	Journal of Comparative Family Studies	37	1	2006-01-01T00:00:00Z	pp. 129-146	Dr. George Kurian	fla			
10.2307/25792735	10.2307/25792735	love is....	betsy henry	Off Our Backs	8	6	1978-06-01T00:00:00Z	p. 16	off our backs, inc.	fla			
10.1525/rep.2010.109.1.122	10.1525/rep.2010.109.1.122	The Potter's Daughter's Sons: German Classical Scholarship and the Language of Love Circa 1800	Constanze Güthenke	Representations	109	1	2010-02-01T00:00:00Z	pp. 122-147	University of California Press	fla		Around the year 1800, Germany saw the establishment of classical scholarship as a discipline that valued individual self-reflexivity and encouraged strategies of personification. Much as classical antiquity informed the conception of sentimental Bildung, sentimental Bildung and its cultivation of particular attachments also informed classical scholarship's model of itself. With research thus conceptualized as a quasi-personal relationship with antiquity, scholarship could draw on a contemporary language of emotionality.	
10.2307/25633827	10.2307/25633827	Nurturing a Baby's Love of Learning	April Judge	American Libraries	26	11	1995-12-01T00:00:00Z	pp. 1134-1136	American Library Association	fla			
10.1525/gfc.2005.5.2.106	10.1525/gfc.2005.5.2.106	Poet of the Appetites: The Lives and Loves of M.F.K. Fisher	Josephine Woll	Gastronomica: The Journal of Food and Culture	5	2	2005-05-01T00:00:00Z	pp. 106-107	University of California Press	brv	Poet of the Appetites: The Lives and Loves of M.F.K. Fisher|Joan Reardon		
10.2307/3193225	10.2307/3193225	Our Love Affair with New Technology: Is the Honeymoon Over?	Craig Roland	Art Education	43	3	1990-05-01T00:00:00Z	pp. 54-60	National Art Education Association	fla			
10.2307/4173749	10.2307/4173749	Cecco Angiolieri and the Vocabulary of Courtly Love	Peter E. Bondanella	Studies in Philology	69	1	1972-01-01T00:00:00Z	pp. 55-71	University of North Carolina Press	fla			
